Date,Symbol,Open,High,Low,Close,Volume From,Volume To,Volume
09-04-18,LTCUSD,117.67,122.97,113.01,114.91,309201.1,36265988.17,35956787.07
10-04-18,LTCUSD,114.91,115.39,112,114.16,164500.96,18745181.08,18580680.12
11-04-18,LTCUSD,114.16,119.72,113.21,117.95,172583.5,19886736.96,19714153.46
12-04-18,LTCUSD,117.95,131,113.3,129.53,613586.57,74764347.47,74150760.9
13-04-18,LTCUSD,129.53,133.5,124,125.46,486506.74,62741778.64,62255271.9
14-04-18,LTCUSD,125.46,129.8,124.3,126.42,195877.9,24836038.27,24640160.37
15-04-18,LTCUSD,126.42,132.77,126.42,132.52,225123.25,29347571.47,29122448.22
16-04-18,LTCUSD,132.52,133.36,125.11,128.63,261540.78,33541452.32,33279911.54
17-04-18,LTCUSD,128.63,140.55,128.62,132.21,409927.77,55365666.19,54955738.42
18-04-18,LTCUSD,132.21,141.64,132.11,140.49,266123.3,36574504.3,36308381
19-04-18,LTCUSD,140.49,147.74,138.88,146.34,287301.15,41079412.57,40792111.42
20-04-18,LTCUSD,146.34,156.46,143.31,155.71,406638.56,60992096.67,60585458.11
21-04-18,LTCUSD,155.71,157.1,141.02,148.3,360706.78,53851736.48,53491029.7
22-04-18,LTCUSD,148.3,153,145.01,146.59,201136.34,30004825.36,29803689.02
23-04-18,LTCUSD,146.59,153.24,146.35,152.59,203735.48,30709808.99,30506073.51
24-04-18,LTCUSD,152.59,165.87,152.59,164.72,516695.48,83400578.6,82883883.12
25-04-18,LTCUSD,164.72,164.84,138.8,145,623575.97,94027542.62,93403966.65
26-04-18,LTCUSD,145,154.65,142.2,153.1,260424.35,38334151.47,38073727.12
27-04-18,LTCUSD,153.1,153.75,145.29,145.9,236590.77,35559221.74,35322630.97
28-04-18,LTCUSD,145.9,152.94,145,151.82,150693.07,22652453.45,22501760.38
29-04-18,LTCUSD,151.82,156.39,148.22,153.24,165668.75,25261651.1,25095982.35
30-04-18,LTCUSD,153.24,153.79,147.06,148.32,149706.56,22553363.94,22403657.38
01-05-18,LTCUSD,148.32,148.75,142.73,147.99,194431.84,28244569.5,28050137.66
02-05-18,LTCUSD,147.99,152.88,146.53,150.8,138839.04,20710810.62,20571971.58
03-05-18,LTCUSD,150.8,163.35,150.69,161,332902.72,52560431.57,52227528.85
04-05-18,LTCUSD,161,171.28,157.19,168.2,301807.45,49355523.28,49053715.83
05-05-18,LTCUSD,168.2,182.35,167.03,177.73,339751.38,59515540.83,59175789.45
06-05-18,LTCUSD,177.73,181.95,165.1,171.07,284016.17,48940449.89,48656433.72
07-05-18,LTCUSD,171.07,171.62,157.25,164.09,292957.68,48004502.02,47711544.34
08-05-18,LTCUSD,164.09,168.1,157.01,158.98,250704.11,40523123.25,40272419.14
09-05-18,LTCUSD,158.98,160.24,151.05,156.83,206075.83,32165101.8,31959025.97
10-05-18,LTCUSD,156.83,160.45,148.02,148.18,185257.89,28624795.2,28439537.31
11-05-18,LTCUSD,148.18,148.61,133.52,136.51,427428.3,60481101.3,60053673
12-05-18,LTCUSD,136.51,145,131.88,142,218253.86,30278811.61,30060557.75
13-05-18,LTCUSD,142,146.73,137.2,144.43,154787.63,22063811.92,21909024.29
14-05-18,LTCUSD,144.43,152.88,134.5,147.32,379578.25,54539250.31,54159672.06
15-05-18,LTCUSD,147.32,149.71,138.1,139.78,228011.98,32696412.44,32468400.46
16-05-18,LTCUSD,139.78,140.99,135,139.36,176798.14,24299021.89,24122223.75
17-05-18,LTCUSD,139.36,141.75,131.37,132.65,166516.42,22766473.2,22599956.78
18-05-18,LTCUSD,132.65,137.6,129.1,136.3,198197.55,26330667.32,26132469.77
19-05-18,LTCUSD,136.3,138.01,133.25,135,87531.06,11868864.35,11781333.29
20-05-18,LTCUSD,135,140.7,132.2,139.38,99079.12,13632023.21,13532944.09
21-05-18,LTCUSD,139.38,139.98,133.53,134.26,94096.82,12822339.23,12728242.41
22-05-18,LTCUSD,134.26,135.75,127.6,128.11,124256.58,16350860.01,16226603.43
23-05-18,LTCUSD,128.11,129.35,116.27,118.85,295309.11,36108103.18,35812794.07
24-05-18,LTCUSD,118.85,125.25,115.11,122.99,209793.9,25315887.2,25106093.3
25-05-18,LTCUSD,122.99,124.44,117.28,119.05,132908.99,15978098.97,15845189.98
26-05-18,LTCUSD,119.05,122.63,117.5,118.33,76424.12,9182551.15,9106127.03
27-05-18,LTCUSD,118.33,118.98,116.51,117.83,76249.99,8963121.29,8886871.3
28-05-18,LTCUSD,117.83,118.95,110.51,111.24,177641.23,20256381.54,20078740.31
29-05-18,LTCUSD,111.24,122.7,110,119.52,185221.83,21670111.66,21484889.83
30-05-18,LTCUSD,119.52,122.86,115,117.18,128200.86,15236208.38,15108007.52
31-05-18,LTCUSD,117.18,120.99,116.49,118.36,111379.6,13237664.82,13126285.22
01-06-18,LTCUSD,118.36,120.71,117,119.88,88134.71,10456884.26,10368749.55
02-06-18,LTCUSD,119.88,124.46,118.52,123.66,95095.09,11623915.42,11528820.33
03-06-18,LTCUSD,123.66,127.95,122.56,125,94472.36,11859886.17,11765413.81
04-06-18,LTCUSD,125,126.69,118.22,119.87,100888.09,12225070.09,12124182
05-06-18,LTCUSD,119.87,122.49,116.17,121.87,121243.35,14459608.68,14338365.33
06-06-18,LTCUSD,121.87,122.67,118.48,121.37,94214.85,11365097.25,11270882.4
07-06-18,LTCUSD,121.37,123.48,119.47,121.63,88176.2,10726260.8,10638084.6
08-06-18,LTCUSD,121.63,121.95,118.59,120.04,76616.4,9169873.48,9093257.08
09-06-18,LTCUSD,120.04,120.95,117.15,117.43,55200.53,6581197.97,6525997.44
10-06-18,LTCUSD,117.43,117.43,103.35,106.97,327703.18,35878803.85,35551100.67
11-06-18,LTCUSD,106.97,109.02,103.2,107.47,215525.44,22895230.08,22679704.64
12-06-18,LTCUSD,107.47,107.95,97.5,100.19,262545.7,26843165.51,26580619.81
13-06-18,LTCUSD,100.19,100.57,89.25,93.82,384682.27,36275943.66,35891261.39
14-06-18,LTCUSD,93.82,103.06,93,101.12,347145.58,33945569.66,33598424.08
15-06-18,LTCUSD,101.12,101.12,94.75,95.54,151557.1,14855205.96,14703648.86
16-06-18,LTCUSD,95.54,97.64,92.79,96.67,89340.44,8553521.29,8464180.85
